Sample ID	LC / Electro-spray /QTOF MS Negative	LC / Electro-spray /QTOF MS Positive
S00010479	2674259703	MISSING
S00010464	2674259691	2674259692
S00010466	2674259679	2674259680
S00010470	2674259685	2674259686
S00010469	MISSING	2674259678
S00010485	2674259693	2674259694
S00010473	2674259695	2674259696
S00010459	2674259730	2674259731
S00010471	2674259760	2674259761
S00010456	2674259734	2674259735
S00010454	2674259689	2674259690
S00010478	2674259754	2674259755
S00010462	2674259681	2674259682
S00010475	2674259756	2674259757
S00010452	2674259671	2674259672
S00010450	2674259675	2674259676
S00010474	2674259667	2674259668
S00010463	2674259708	2674259709
S00010472	2674259701	2674259702
S00010480	2674259661	2674259662
S00010451	2674259663	2674259664
S00010481	2674259704	2674259705
S00010486	2674259665	2674259666
S00010458	2674259669	2674259670
S00010477	2674259683	2674259684
S00010457	2674259710	2674259711
S00010455	2674259699	2674259700
S00010483	2674259712	2674259713
S00010453	2674259673	2674259674
S00010484	2674259724	2674259725
S00010449	2674259750	2674259751
S00010476	2674259726	2674259727
S00010468	2674259752	2674259753
S00010467	2674259706	2674259707
S00010465	2674259728	2674259729
S00010487	2674259687	2674259688
S00010460	2674259697	2674259698
S00010461	2674259732	MISSING
S00010482	2674259758	2674259759
