ID	Name	Description	Group	Organism	Line	Fraction	Modif.	User type	Type	Notes	TGF	TIME	FCS	REFED
S00010449	0A	Control 0 h (-TGFb) (1.26X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	NO_TGF	00h	NO_FCS	NO_REFED
S00010450	0B	Control 0 h (-TGFb) (1.26X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	NO_TGF	00h	NO_FCS	NO_REFED
S00010451	0C	Control 0 h (-TGFb) (1.26X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	NO_TGF	00h	NO_FCS	NO_REFED
S00010458	12A	12 h (-TGFb) (1.5X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	NO_TGF	12h	NO_FCS	NO_REFED
S00010459	12B	12 h (-TGFb) (1.5X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	NO_TGF	12h	NO_FCS	NO_REFED
S00010460	12C	12 h (-TGFb) (1.5X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	NO_TGF	12h	NO_FCS	NO_REFED
S00010461	12D	12 h (+TGFb) (1.5X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	TGF	12h	NO_FCS	NO_REFED
S00010462	12E	12 h (+TGFb) (1.5X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	TGF	12h	NO_FCS	NO_REFED
S00010463	12F	12 h (+TGFb) (1.5X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	TGF	12h	NO_FCS	NO_REFED
S00010464	24A	24 h (-TGFb) (2.23X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	NO_TGF	24h	NO_FCS	NO_REFED
S00010465	24B	24 h (-TGFb) (2.23X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	NO_TGF	24h	NO_FCS	NO_REFED
S00010466	24C	24 h (-TGFb) (2.23X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	NO_TGF	24h	NO_FCS	NO_REFED
S00010467	24D	24 h (+TGFb) (1.65X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	TGF	24h	NO_FCS	NO_REFED
S00010468	24E	24 h (+TGFb) (1.65X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	TGF	24h	NO_FCS	NO_REFED
S00010469	24F	24 h (+TGFb) (1.65X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	TGF	24h	NO_FCS	NO_REFED
S00010452	2A	2 h (-TGFb) (1.24X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	NO_TGF	02h	NO_FCS	NO_REFED
S00010453	2B	2 h (-TGFb) (1.24X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	NO_TGF	02h	NO_FCS	NO_REFED
S00010454	2C	2 h (-TGFb) (1.24X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	NO_TGF	02h	NO_FCS	NO_REFED
S00010455	2D	2 h (+TGFb) (1.26X10^6)	EMT Metabolomics	human				Cell Line	Cell Line	S	TGF	02h	NO_FCS	NO_REFED
