Compound ID	Target ID	Target type	Acq. method	Name	S00010449	S00010450	S00010451	S00010452	S00010453	S00010454	S00010455	S00010456	S00010457	S00010458	S00010459	S00010460	S00010461	S00010462	S00010463	S00010464	S00010465	S00010466	S00010467	S00010468	S00010469	S00010470	S00010471	S00010472	S00010473	S00010474	S00010475	S00010476	S00010477	S00010478	S00010479	S00010480	S00010481	S00010482	S00010483	S00010484	S00010485	S00010486	S00010487
C00337	771420	PRIMARY	AQM004	(S)-DIHYDROOROTATE										162035	131919	81355	146557	71627			116871	121409		263644																			
C00186	770816	UNIQUE	AQM004	(S)-LACTATE	6904528	7317924		5788834		6223585	4928011	4968770	5670459		6568467	5709615	5926325	7368588	7544648	6814008	7257217		7664679	7667945		7807274	9452630	10663645	9053442	7976478	10387827	7300713	8334344	6822255	7375595	7117283	7143310	17272450	17490645	22013134	13360025	12811143	12257996
CA1375	747214	UNIQUE	AQM003	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE					56305	48794								29053	21454																								
CA1156	747436	UNIQUE	AQM003	1,2-DIPALMITOYL-SN-GLYCEROL										3766612		2829817			42200																								
C01234	770863	UNIQUE	AQM004	1-AMINOCYCLOPROPANE-1-CARBOXYLATE				286719		266683	247146	210354	76318				162688	367827	117982	238327	162255		198344	168426		222429	227105	403207	289589	291837	257298	384862	221063	199727	156881	130428	196373	728007	616917	541134	392028	178240	372615
C03203	771322	UNIQUE	AQM004	1-HYDROXY-2-NAPHTHOATE	2505762	3008357	3477041	2724762	2192762	3946321	2949177	2491584	3076945	1038881	2148359	2622292	2815022	5156326		3412536	1933390	3125317	2072503	2104963		2240169	1126492	1773371		1593426	1388394		1963123	1827087	1423154	1616545	1106497			347745	1109353	649025	673604
C02494	747122	UNIQUE	AQM003	1-METHYLADENOSINE	448057	50022	35106	38689	79031	112255	147265		291544	45110	50523	44359		235541	44965	57528	122704		20064	84807	76543	69216	168070	90704	28131		197484	136768	195896	45432			173932	636899	384026		488855	388586	166049
C14790	747478	UNIQUE	AQM003	1-NAPHTHYLAMINE							10720		24193					30353																									
CA1373	747482	UNIQUE	AQM003	1-OLEOYL-RAC-GLYCEROL	599234	301321			517506	911187	510780	228897		392898	477143	853328		804925	1362282	671317	1442833	860370	1007601	1140903	527081	637837	1398283	1181450	2532365	68133		1329067	1476285	1248451		774000	793346		1841249	1605575	1472072	65631	2421408
C02774	747272	UNIQUE	AQM003	10-HYDROXYDECANOATE							2229007		1632819		729724	1403247		530976	412820	324095		187158		395389	1241121																		
